row,decimal,bitstring,accuracy,normalized_time,active_features,penalized_fitness
2638,2638,0000101001001110,0.74309375,0.03944361,6,0.62269932
2639,2639,0000101001001111,0.80352083,0.12503117,7,0.66227052
2640,2640,0000101001010000,0.48825000,0.05504001,4,0.40769960
2641,2641,0000101001010001,0.60929688,0.01005977,5,0.50919628
2642,2642,0000101001010010,0.67412500,0.03862340,5,0.57373876
2643,2643,0000101001010011,0.74833854,0.03735560,6,0.62796498
2644,2644,0000101001010100,0.61111458,0.12638554,5,0.50985072
2645,2645,0000101001010101,0.69967187,0.01053318,6,0.57956654
2646,2646,0000101001010110,0.75521354,0.01101887,6,0.63510335
2647,2647,0000101001010111,0.80727084,0.04262621,7,0.66684457
2648,2648,0000101001011000,0.66317188,0.03599647,5,0.56281191
2649,2649,0000101001011001,0.74579167,0.01102929,6,0.62568138
2650,2650,0000101001011010,0.78452604,0.01179729,6,0.66440807
2651,2651,0000101001011011,0.83458333,0.01204322,7,0.69446290
2652,2652,0000101001011100,0.73861458,0.03942890,6,0.61822029
2653,2653,0000101001011101,0.79840105,0.04092422,7,0.65799180
2654,2654,0000101001011110,0.83050000,0.04260975,7,0.69007390
2655,2655,0000101001011111,0.86820833,0.13059148,8,0.70690242
2656,2656,0000101001100000,0.47332812,0.06675504,4,0.39266057
2657,2657,0000101001100001,0.59577604,0.00982655,5,0.49567777
2658,2658,0000101001100010,0.64783854,0.03695592,5,0.54746898
2659,2659,0000101001100011,0.73714063,0.03999011,6,0.61674073
2660,2660,0000101001100100,0.56236979,0.04436869,5,0.46192610
2661,2661,0000101001100101,0.66368750,0.01195523,6,0.54356795
2662,2662,0000101001100110,0.71180208,0.01067440,6,0.59169533
2663,2663,0000101001100111,0.78243750,0.05600309,7,0.64187747
2664,2664,0000101001101000,0.63092708,0.03944965,5,0.53053259
2665,2665,0000101001101001,0.72398958,0.04871658,6,0.60350242
2666,2666,0000101001101010,0.75532813,0.01179781,6,0.63521015
2667,2667,0000101001101011,0.81285417,0.01152837,7,0.67273888
2668,2668,0000101001101100,0.69058334,0.03808277,6,0.57020251
2669,2669,0000101001101101,0.76985416,0.04122565,7,0.62944191
