row,decimal,fitness,bitstring
1921,1920,4.00000000,0000011110000000
2056,2055,4.00000000,0000100000000111
2060,2059,4.00000000,0000100000001011
2062,2061,4.00000000,0000100000001101
2063,2062,4.00000000,0000100000001110
2068,2067,4.00000000,0000100000010011
2070,2069,4.00000000,0000100000010101
2071,2070,4.00000000,0000100000010110
2074,2073,4.00000000,0000100000011001
2075,2074,4.00000000,0000100000011010
2077,2076,4.00000000,0000100000011100
2084,2083,4.00000000,0000100000100011
2086,2085,4.00000000,0000100000100101
2087,2086,4.00000000,0000100000100110
2090,2089,4.00000000,0000100000101001
2091,2090,4.00000000,0000100000101010
2093,2092,4.00000000,0000100000101100
2098,2097,4.00000000,0000100000110001
2099,2098,4.00000000,0000100000110010
2101,2100,4.00000000,0000100000110100
2105,2104,4.00000000,0000100000111000
2116,2115,4.00000000,0000100001000011
2118,2117,4.00000000,0000100001000101
2119,2118,4.00000000,0000100001000110
2122,2121,4.00000000,0000100001001001
2123,2122,4.00000000,0000100001001010
2125,2124,4.00000000,0000100001001100
2130,2129,4.00000000,0000100001010001
2131,2130,4.00000000,0000100001010010
2133,2132,4.00000000,0000100001010100
2137,2136,4.00000000,0000100001011000
2146,2145,4.00000000,0000100001100001
2147,2146,4.00000000,0000100001100010
2149,2148,4.00000000,0000100001100100
2153,2152,4.00000000,0000100001101000
2161,2160,4.00000000,0000100001110000
2180,2179,4.00000000,0000100010000011
2182,2181,4.00000000,0000100010000101
2183,2182,4.00000000,0000100010000110
2186,2185,4.00000000,0000100010001001
2187,2186,4.00000000,0000100010001010
2189,2188,4.00000000,0000100010001100
2194,2193,4.00000000,0000100010010001
2195,2194,4.00000000,0000100010010010
2197,2196,4.00000000,0000100010010100
2201,2200,4.00000000,0000100010011000
2210,2209,4.00000000,0000100010100001
2211,2210,4.00000000,0000100010100010
2213,2212,4.00000000,0000100010100100
2217,2216,4.00000000,0000100010101000
2225,2224,4.00000000,0000100010110000
2242,2241,4.00000000,0000100011000001
2243,2242,4.00000000,0000100011000010
2245,2244,4.00000000,0000100011000100
2249,2248,4.00000000,0000100011001000
2257,2256,4.00000000,0000100011010000
2273,2272,4.00000000,0000100011100000
2308,2307,4.00000000,0000100100000011
2310,2309,4.00000000,0000100100000101
2311,2310,4.00000000,0000100100000110
2314,2313,4.00000000,0000100100001001
2315,2314,4.00000000,0000100100001010
2317,2316,4.00000000,0000100100001100
2322,2321,4.00000000,0000100100010001
2323,2322,4.00000000,0000100100010010
2325,2324,4.00000000,0000100100010100
2329,2328,4.00000000,0000100100011000
2338,2337,4.00000000,0000100100100001
2339,2338,4.00000000,0000100100100010
2341,2340,4.00000000,0000100100100100
2345,2344,4.00000000,0000100100101000
2353,2352,4.00000000,0000100100110000
2370,2369,4.00000000,0000100101000001
2371,2370,4.00000000,0000100101000010
2373,2372,4.00000000,0000100101000100
2377,2376,4.00000000,0000100101001000
2385,2384,4.00000000,0000100101010000
2401,2400,4.00000000,0000100101100000
2434,2433,4.00000000,0000100110000001
2435,2434,4.00000000,0000100110000010
2437,2436,4.00000000,0000100110000100
2441,2440,4.00000000,0000100110001000
2449,2448,4.00000000,0000100110010000
2465,2464,4.00000000,0000100110100000
2497,2496,4.00000000,0000100111000000
2564,2563,4.00000000,0000101000000011
2566,2565,4.00000000,0000101000000101
2567,2566,4.00000000,0000101000000110
2570,2569,4.00000000,0000101000001001
2571,2570,4.00000000,0000101000001010
2573,2572,4.00000000,0000101000001100
2578,2577,4.00000000,0000101000010001
2579,2578,4.00000000,0000101000010010
2581,2580,4.00000000,0000101000010100
2585,2584,4.00000000,0000101000011000
2594,2593,4.00000000,0000101000100001
2595,2594,4.00000000,0000101000100010
2597,2596,4.00000000,0000101000100100
2601,2600,4.00000000,0000101000101000
2609,2608,4.00000000,0000101000110000
2626,2625,4.00000000,0000101001000001
2627,2626,4.00000000,0000101001000010
2629,2628,4.00000000,0000101001000100
2633,2632,4.00000000,0000101001001000
2641,2640,4.00000000,0000101001010000
2657,2656,4.00000000,0000101001100000
2690,2689,4.00000000,0000101010000001
2691,2690,4.00000000,0000101010000010
2693,2692,4.00000000,0000101010000100
2697,2696,4.00000000,0000101010001000
2705,2704,4.00000000,0000101010010000
2721,2720,4.00000000,0000101010100000
2753,2752,4.00000000,0000101011000000
2818,2817,4.00000000,0000101100000001
2819,2818,4.00000000,0000101100000010
2821,2820,4.00000000,0000101100000100
2825,2824,4.00000000,0000101100001000
2833,2832,4.00000000,0000101100010000
2849,2848,4.00000000,0000101100100000
2881,2880,4.00000000,0000101101000000
2945,2944,4.00000000,0000101110000000
3076,3075,4.00000000,0000110000000011
3078,3077,4.00000000,0000110000000101
3079,3078,4.00000000,0000110000000110
3082,3081,4.00000000,0000110000001001
3083,3082,4.00000000,0000110000001010
3085,3084,4.00000000,0000110000001100
3090,3089,4.00000000,0000110000010001
3091,3090,4.00000000,0000110000010010
3093,3092,4.00000000,0000110000010100
3097,3096,4.00000000,0000110000011000
3106,3105,4.00000000,0000110000100001
3107,3106,4.00000000,0000110000100010
3109,3108,4.00000000,0000110000100100
3113,3112,4.00000000,0000110000101000
3121,3120,4.00000000,0000110000110000
3138,3137,4.00000000,0000110001000001
3139,3138,4.00000000,0000110001000010
3141,3140,4.00000000,0000110001000100
3145,3144,4.00000000,0000110001001000
3153,3152,4.00000000,0000110001010000
3169,3168,4.00000000,0000110001100000
3202,3201,4.00000000,0000110010000001
3203,3202,4.00000000,0000110010000010
3205,3204,4.00000000,0000110010000100
3209,3208,4.00000000,0000110010001000
3217,3216,4.00000000,0000110010010000
3233,3232,4.00000000,0000110010100000
3265,3264,4.00000000,0000110011000000
3330,3329,4.00000000,0000110100000001
3331,3330,4.00000000,0000110100000010
3333,3332,4.00000000,0000110100000100
3337,3336,4.00000000,0000110100001000
3345,3344,4.00000000,0000110100010000
3361,3360,4.00000000,0000110100100000
3393,3392,4.00000000,0000110101000000
3457,3456,4.00000000,0000110110000000
3586,3585,4.00000000,0000111000000001
3587,3586,4.00000000,0000111000000010
3589,3588,4.00000000,0000111000000100
3593,3592,4.00000000,0000111000001000
3601,3600,4.00000000,0000111000010000
3617,3616,4.00000000,0000111000100000
3649,3648,4.00000000,0000111001000000
3713,3712,4.00000000,0000111010000000
3841,3840,4.00000000,0000111100000000
4096,4095,4.00000000,0000111111111111
4104,4103,4.00000000,0001000000000111
4108,4107,4.00000000,0001000000001011
4110,4109,4.00000000,0001000000001101
4111,4110,4.00000000,0001000000001110
4116,4115,4.00000000,0001000000010011
4118,4117,4.00000000,0001000000010101
4119,4118,4.00000000,0001000000010110
4122,4121,4.00000000,0001000000011001
4123,4122,4.00000000,0001000000011010
4125,4124,4.00000000,0001000000011100
4132,4131,4.00000000,0001000000100011
4134,4133,4.00000000,0001000000100101
4135,4134,4.00000000,0001000000100110
4138,4137,4.00000000,0001000000101001
4139,4138,4.00000000,0001000000101010
4141,4140,4.00000000,0001000000101100
4146,4145,4.00000000,0001000000110001
