row,decimal,bitstring,accuracy,normalized_time,active_features,penalized_fitness
53249,53249,1101000000000001,0.16854167,0.04550563,4,0.08399110
53250,53250,1101000000000010,0.23302083,0.02590892,4,0.15042994
53251,53251,1101000000000011,0.34777083,0.02894238,5,0.24487660
53252,53252,1101000000000100,0.23493229,0.01612924,4,0.15331937
53253,53253,1101000000000101,0.33863542,0.11489099,5,0.22714632
53254,53254,1101000000000110,0.43035417,0.02802619,5,0.32755155
53255,53255,1101000000000111,0.53222396,0.63708091,6,0.34851587
53256,53256,1101000000001000,0.22450521,0.13735019,4,0.13077019
53257,53257,1101000000001001,0.33493750,0.02853095,5,0.23208441
53258,53258,1101000000001010,0.45165104,0.12798204,5,0.33885284
53259,53259,1101000000001011,0.55366145,0.03211661,6,0.43044979
53260,53260,1101000000001100,0.41457812,0.12485200,5,0.30209293
53261,53261,1101000000001101,0.52332291,0.04790030,6,0.39853288
53262,53262,1101000000001110,0.60368750,0.14688238,6,0.46899926
53263,53263,1101000000001111,0.68131771,0.45766959,7,0.49555075
53264,53264,1101000000010000,0.23046875,0.07836805,4,0.14263194
53265,53265,1101000000010001,0.33978646,0.04641750,5,0.23514471
53266,53266,1101000000010010,0.42764583,0.03188354,5,0.32445748
53267,53267,1101000000010011,0.52662500,0.12593533,6,0.39403147
53268,53268,1101000000010100,0.40777083,0.04866576,5,0.30290426
53269,53269,1101000000010101,0.50608854,0.02223005,6,0.38386553
53270,53270,1101000000010110,0.59789062,0.13398528,6,0.46449210
53271,53271,1101000000010111,0.66952605,0.01974451,7,0.52755160
53272,53272,1101000000011000,0.41215104,0.01463132,5,0.31068791
53273,53273,1101000000011001,0.51886458,0.13400900,6,0.38546368
53274,53274,1101000000011010,0.62440625,0.04011683,6,0.50039457
53275,53275,1101000000011011,0.69988021,0.13331118,7,0.54654909
53276,53276,1101000000011100,0.57958333,0.01389627,6,0.45819370
53277,53277,1101000000011101,0.66021875,0.01533178,7,0.51868557
53278,53278,1101000000011110,0.73453646,0.10649237,7,0.58388722
53279,53279,1101000000011111,0.79028646,0.45499057,8,0.58478740
53280,53280,1101000000100000,0.23494271,0.03456743,4,0.15148597
53281,53281,1101000000100001,0.35161458,0.03486147,5,0.24812844
53282,53282,1101000000100010,0.40973958,0.03273174,5,0.30646641
53283,53283,1101000000100011,0.52351562,0.12485946,6,0.39102968
53284,53284,1101000000100100,0.36792708,0.00962637,5,0.26696445
53285,53285,1101000000100101,0.48839063,0.03696868,6,0.36469376
53286,53286,1101000000100110,0.54980729,0.02104793,6,0.42770250
53287,53287,1101000000100111,0.64621875,0.13887064,7,0.49233169
53288,53288,1101000000101000,0.42600521,0.01055123,5,0.32495009
53289,53289,1101000000101001,0.53934896,0.01245447,6,0.41810351
53290,53290,1101000000101010,0.60191146,0.01260137,6,0.48065133
53291,53291,1101000000101011,0.69025001,0.12947672,7,0.53730234
53292,53292,1101000000101100,0.54118750,0.01235581,6,0.41995192
53293,53293,1101000000101101,0.63193229,0.01765374,7,0.49016692
53294,53294,1101000000101110,0.68295313,0.03158490,7,0.53979464
53295,53295,1101000000101111,0.75454687,0.13622235,8,0.58092464
53296,53296,1101000000110000,0.42764583,0.01019664,5,0.32662617
53297,53297,1101000000110001,0.52394792,0.02743419,6,0.40120450
53298,53298,1101000000110010,0.59335417,0.04415448,6,0.46893872
53299,53299,1101000000110011,0.67034896,0.04434065,7,0.52591490
53300,53300,1101000000110100,0.53450521,0.05052931,6,0.40945228
53301,53301,1101000000110101,0.61767188,0.14812924,7,0.46285895
53302,53302,1101000000110110,0.69135938,0.01355180,7,0.55000420
53303,53303,1101000000110111,0.75130729,0.01822791,8,0.58948450
53304,53304,1101000000111000,0.59909896,0.18459480,6,0.46063948
53305,53305,1101000000111001,0.67728646,0.01373537,7,0.53591292
53306,53306,1101000000111010,0.73373438,0.01333501,7,0.59240088
53307,53307,1101000000111011,0.78716667,0.03544582,8,0.62362209
53308,53308,1101000000111100,0.67096875,0.13484104,7,0.51748465
53309,53309,1101000000111101,0.73606771,0.01295453,8,0.57477225
53310,53310,1101000000111110,0.78693750,0.04787462,8,0.62215004
53311,53311,1101000000111111,0.83054166,0.50004140,9,0.60053752
53312,53312,1101000001000000,0.21365104,0.00847304,4,0.13280374
53313,53313,1101000001000001,0.32967188,0.01006222,5,0.22866565
53314,53314,1101000001000010,0.40342188,0.01225945,5,0.30219593
53315,53315,1101000001000011,0.51875521,0.04082938,6,0.39467227
53316,53316,1101000001000100,0.36853125,0.01236960,5,0.26729429
53317,53317,1101000001000101,0.49453125,0.02633939,6,0.37189731
53318,53318,1101000001000110,0.56162500,0.01191413,6,0.44043359
53319,53319,1101000001000111,0.65555728,0.01221563,7,0.51433572
53320,53320,1101000001001000,0.36811458,0.03892609,5,0.26422197
53321,53321,1101000001001001,0.49471354,0.01269382,6,0.37344416
53322,53322,1101000001001010,0.57973958,0.01276641,6,0.45846294
53323,53323,1101000001001011,0.67423437,0.11233500,7,0.52300087
53324,53324,1101000001001100,0.53886979,0.01191929,6,0.41767786
53325,53325,1101000001001101,0.64594271,0.01259807,7,0.50468290
53326,53326,1101000001001110,0.70023958,0.04579842,7,0.55565974
53327,53327,1101000001001111,0.76511458,0.01370152,8,0.60374443
53328,53328,1101000001010000,0.38502083,0.00918396,5,0.28410244
53329,53329,1101000001010001,0.50234896,0.12486793,6,0.36986217
53330,53330,1101000001010010,0.56853125,0.01203878,6,0.44732737
53331,53331,1101000001010011,0.65974999,0.04020196,7,0.51572980
53332,53332,1101000001010100,0.53985417,0.03937969,6,0.41591620
53333,53333,1101000001010101,0.63886979,0.04499639,7,0.49437015
53334,53334,1101000001010110,0.70237499,0.01416266,7,0.56095873
53335,53335,1101000001010111,0.76187500,0.01989550,8,0.59988545
53336,53336,1101000001011000,0.54722917,0.01272075,6,0.42595709
53337,53337,1101000001011001,0.64646354,0.05178695,7,0.50128485
53338,53338,1101000001011010,0.71381771,0.01314123,7,0.57250358
53339,53339,1101000001011011,0.77737500,0.01316967,8,0.61605803
53340,53340,1101000001011100,0.67986979,0.04623588,7,0.53524620
53341,53341,1101000001011101,0.75442187,0.04280290,8,0.59014158
53342,53342,1101000001011110,0.80269271,0.05562366,8,0.63713035
53343,53343,1101000001011111,0.84207291,0.01470305,9,0.66060261
53344,53344,1101000001100000,0.39335417,0.04038271,5,0.28931590
53345,53345,1101000001100001,0.50779167,0.01139673,6,0.38665199
53346,53346,1101000001100010,0.55402083,0.01397327,6,0.43262350
53347,53347,1101000001100011,0.64951041,0.03133130,7,0.50637728
53348,53348,1101000001100100,0.50863021,0.01024965,6,0.38760524
53349,53349,1101000001100101,0.61262500,0.01445073,7,0.47117993
53350,53350,1101000001100110,0.65720833,0.04295086,7,0.51291325
53351,53351,1101000001100111,0.73534895,0.03224794,8,0.57212416
53352,53352,1101000001101000,0.55714584,0.01127441,6,0.43601840
53353,53353,1101000001101001,0.65871875,0.15129904,7,0.50358885
53354,53354,1101000001101010,0.69454688,0.01329578,7,0.55321730
53355,53355,1101000001101011,0.76556250,0.01504543,8,0.60405796
53356,53356,1101000001101100,0.64515625,0.02040243,7,0.50311600
