row,decimal,fitness,bitstring
196549,196549,0.59750375,0101111111111000101
196617,196617,0.76476815,0110000000000001001
196812,196812,0.75061326,0110000000011001100
197169,197169,0.73379813,0110000001000110001
197993,197993,0.71976615,0110000010101101001
199411,199411,0.66796619,0110000101011110011
200413,200413,0.66883874,0110000111011011101
200896,200896,0.79149006,0110001000011000000
200975,200975,0.75644499,0110001000100001111
201033,201033,0.74500672,0110001000101001001
201059,201059,0.71734815,0110001000101100011
201061,201061,0.72112959,0110001000101100101
201741,201741,0.76224610,0110001010000001101
202199,202199,0.66234042,0110001010111010111
202248,202248,0.72200802,0110001011000001000
202926,202926,0.71904506,0110001100010101110
203052,203052,0.74195038,0110001100100101100
203218,203218,0.70361648,0110001100111010010
203765,203765,0.62399412,0110001101111110101
205075,205075,0.74457127,0110010000100010011
205226,205226,0.70397415,0110010000110101010
206084,206084,0.74271771,0110010010100000100
207864,207864,0.66080890,0110010101111111000
208261,208261,0.68789937,0110010110110000101
208470,208470,0.64449586,0110010111001010110
208901,208901,0.78219066,0110011000000000101
211223,211223,0.70730796,0110011100100010111
212123,212123,0.68394827,0110011110010011011
213512,213512,0.77012046,0110100001000001000
216093,216093,0.70009732,0110100110000011101
216144,216144,0.70506949,0110100110001010000
216425,216425,0.68687855,0110100110101101001
216688,216688,0.66998509,0110100111001110000
216873,216873,0.69026559,0110100111100101001
217153,217153,0.75036850,0110101000001000001
217429,217429,0.69072068,0110101000101010101
217930,217930,0.68437712,0110101001101001010
218060,218060,0.67586873,0110101001111001100
219753,219753,0.70178276,0110101101001101001
220363,220363,0.68141745,0110101110011001011
220431,220431,0.68527219,0110101110100001111
221263,221263,0.71308746,0110110000001001111
224395,224395,0.69978714,0110110110010001011
225214,225214,0.58516857,0110110111110111110
225440,225440,0.76890090,0110111000010100000
226953,226953,0.68257648,0110111011010001001
227758,227758,0.66063199,0110111100110101110
229664,229664,0.75764333,0111000000100100000
230179,230179,0.69766428,0111000001100100011
230809,230809,0.69065836,0111000010110011001
231069,231069,0.69396362,0111000011010011101
232061,232061,0.67141499,0111000101001111101
232245,232245,0.65751907,0111000101100110101
232896,232896,0.69378691,0111000110111000000
232948,232948,0.62589881,0111000110111110100
233635,233635,0.72935179,0111001000010100011
233833,233833,0.70751492,0111001000101101001
233931,233931,0.69551701,0111001000111001011
237809,237809,0.67290572,0111010000011110001
239825,239825,0.68215789,0111010100011010001
240400,240400,0.66976445,0111010101100010000
240709,240709,0.68011169,0111010110001000101
246384,246384,0.69495336,0111100001001110000
247376,247376,0.67681339,0111100011001010000
248058,248058,0.65054763,0111100100011111010
248279,248279,0.63994428,0111100100111010111
248335,248335,0.71101025,0111100101000001111
249194,249194,0.64167778,0111100110101101010
249656,249656,0.64803587,0111100111100111000
249931,249931,0.74380974,0111101000001001011
250306,250306,0.71143947,0111101000111000010
251532,251532,0.70199552,0111101011010001100
251563,251563,0.65900170,0111101011010101011
252158,252158,0.61830579,0111101100011111110
252952,252952,0.67891239,0111101110000011000
254729,254729,0.67467275,0111110001100001001
255153,255153,0.64516238,0111110010010110001
255927,255927,0.57894694,0111110011110110111
257912,257912,0.61476850,0111110111101111000
261341,261341,0.61501232,0111111110011011101
262530,262530,0.78576481,1000000000110000010
263271,263271,0.73461789,1000000010001100111
263826,263826,0.71717535,1000000011010010010
264203,264203,0.79407215,1000000100000001011
264212,264212,0.78487256,1000000100000010100
264304,264304,0.75754338,1000000100001110000
264404,264404,0.74431789,1000000100011010100
264981,264981,0.72694402,1000000101100010101
265020,265020,0.71690154,1000000101100111100
265104,265104,0.74558037,1000000101110010000
265756,265756,0.70329901,1000000111000011100
265863,265863,0.72491932,1000000111010000111
266179,266179,0.69323910,1000000111111000011
266348,266348,0.76596250,1000001000001101100
266708,266708,0.71523503,1000001000111010100
266772,266772,0.74864885,1000001001000010100
266868,266868,0.72312833,1000001001001110100
267053,267053,0.74304301,1000001001100101101
267308,267308,0.76240138,1000001010000101100
268334,268334,0.74300185,1000001100000101110
268345,268345,0.72340396,1000001100000111001
268551,268551,0.76317970,1000001100100000111
270640,270640,0.74331134,1000010000100110000
270988,270988,0.73121710,1000010001010001100
271374,271374,0.73543364,1000010010000001110
272144,272144,0.71026945,1000010011100010000
272440,272440,0.75366026,1000010100000111000
273100,273100,0.70029397,1000010101011001100
275305,275305,0.69724333,1000011001101101001
276367,276367,0.67395770,1000011011110001111
276840,276840,0.72129324,1000011100101101000
277066,277066,0.73028145,1000011101001001010
277261,277261,0.70905848,1000011101100001101
278487,278487,0.61839521,1000011111111010111
278594,278594,0.78100507,1000100000001000010
280112,280112,0.73258279,1000100011000110000
281090,281090,0.75644475,1000100101000000010
281157,281157,0.72681567,1000100101001000101
281201,281201,0.69751206,1000100101001110001
281698,281698,0.71386632,1000100110001100010
282836,282836,0.73408174,1000101000011010100
285741,285741,0.70945492,1000101110000101101
286036,286036,0.68532838,1000101110101010100
287112,287112,0.74418192,1000110000110001000
287122,287122,0.71493844,1000110000110010010
287361,287361,0.74288410,1000110001010000001
287898,287898,0.67980156,1000110010010011010
287956,287956,0.68942346,1000110010011010100
288772,288772,0.75254967,1000110100000000100
288854,288854,0.69586592,1000110100001010110
290308,290308,0.71004577,1000110111000000100
292013,292013,0.69930540,1000111010010101101
292969,292969,0.70651169,1000111100001101001
293704,293704,0.68136755,1000111101101001000
293860,293860,0.65059510,1000111101111100100
294287,294287,0.66405166,1000111110110001111
294512,294512,0.65587213,1000111111001110000
294944,294944,0.81114879,1001000000000100000
294971,294971,0.73360718,1001000000000111011
297403,297403,0.67812731,1001000100110111011
297998,297998,0.72576560,1001000110000001110
299174,299174,0.76702068,1001001000010100110
299372,299372,0.71783251,1001001000101101100
301045,301045,0.62012541,1001001011111110101
301084,301084,0.71169719,1001001100000011100
303402,303402,0.70882724,1001010000100101010
304306,304306,0.69487704,1001010010010110010
304488,304488,0.70036261,1001010010101101000
304848,304848,0.70131610,1001010011011010000
306200,306200,0.70363272,1001010110000011000
307861,307861,0.70241577,1001011001010010101
307920,307920,0.70560410,1001011001011010000
307980,307980,0.71187916,1001011001100001100
309616,309616,0.67748518,1001011100101110000
310352,310352,0.70686268,1001011110001010000
