row,decimal,bitstring,accuracy,normalized_time,active_features,penalized_fitness
400,400,110010000,0.95472560,0.31485908,3,0.86323969
401,401,110010001,0.95167682,0.34440496,4,0.83723633
402,402,110010010,0.94878048,0.35297280,4,0.83348320
403,403,110010011,0.94710365,0.33712613,5,0.81339104
404,404,110010100,0.95533536,0.34833625,4,0.84050173
405,405,110010101,0.95320121,0.40009605,5,0.81319161
406,406,110010110,0.94801828,0.40644007,5,0.80737428
407,407,110010111,0.95167683,0.78848850,6,0.75282798
408,408,110011000,0.95823169,0.40897314,4,0.83733438
409,409,110011001,0.96219511,0.40084006,5,0.82211111
410,410,110011010,0.96448170,0.40791888,5,0.82368982
411,411,110011011,0.96387194,0.45054575,6,0.79881737
412,412,110011100,0.96128048,0.43060513,5,0.81821997
413,413,110011101,0.96448170,0.43291704,6,0.80119000
414,414,110011110,0.96371951,0.47352187,6,0.79636732
415,415,110011111,0.96814025,0.49230037,7,0.77891021
416,416,110100000,0.95106707,0.13919150,3,0.87714792
417,417,110100001,0.94512195,0.28199087,4,0.83692286
418,418,110100010,0.95411584,0.19970595,4,0.85414525
419,419,110100011,0.95685975,0.28386137,5,0.82847361
420,420,110100100,0.95792682,0.25570905,4,0.85235592
421,421,110100101,0.95670730,0.34245509,5,0.82246179
422,422,110100110,0.95472560,0.29096852,5,0.82562875
423,423,110100111,0.95442072,0.30811078,6,0.80360964
424,424,110101000,0.96219512,0.24337569,4,0.85785755
425,425,110101001,0.96219512,0.28510866,5,0.83368426
426,426,110101010,0.96554878,0.27653967,5,0.83789481
427,427,110101011,0.96295731,0.30798940,6,0.81215837
428,428,110101100,0.96265243,0.34295866,5,0.82835657
429,429,110101101,0.96097560,0.35051648,6,0.80592395
430,430,110101110,0.96539634,0.36414070,6,0.80898227
431,431,110101111,0.96585366,0.37536280,7,0.78831738
432,432,110110000,0.95259145,0.33874532,4,0.83871692
433,433,110110001,0.95304877,0.34855221,5,0.81819355
434,434,110110010,0.95121950,0.36298940,5,0.81492056
435,435,110110011,0.95685974,0.38542072,6,0.79831767
436,436,110110100,0.95487803,0.65040632,5,0.78983740
437,437,110110101,0.95243902,0.49577129,6,0.78286189
438,438,110110110,0.95685975,0.40682956,6,0.79617679
439,439,110110111,0.95579267,0.44580368,7,0.77121231
440,440,110111000,0.96478658,0.41710739,5,0.82307584
441,441,110111001,0.96448171,0.42006984,6,0.80247472
442,442,110111010,0.96295731,0.52208442,6,0.79074887
443,443,110111011,0.96250000,0.44874900,7,0.77762510
444,444,110111100,0.96478658,0.41380122,6,0.80340646
445,445,110111101,0.96707317,0.45641479,7,0.78143169
446,446,110111110,0.96371951,0.48380053,7,0.77533945
447,447,110111111,0.96631097,0.46325521,8,0.75998545
448,448,111000000,0.94984755,0.14098694,3,0.87574886
449,449,111000001,0.95503048,0.36499267,4,0.83853121
450,450,111000010,0.95548780,0.18168221,4,0.85731957
451,451,111000011,0.95503047,0.28451462,5,0.82657901
452,452,111000100,0.96082316,0.27267428,4,0.85355574
453,453,111000101,0.95807926,0.28371878,5,0.82970738
454,454,111000110,0.96097561,0.27158166,5,0.83381744
455,455,111000111,0.95884146,0.30785094,6,0.80805636
456,456,111001000,0.96631097,0.23789659,4,0.86252131
457,457,111001001,0.96021341,0.25901714,5,0.83431169
458,458,111001010,0.96448170,0.26736810,5,0.83774489
459,459,111001011,0.96935976,0.28163212,6,0.82119655
460,460,111001100,0.96234756,0.35829781,5,0.82651778
461,461,111001101,0.96249999,0.39292758,6,0.80320724
462,462,111001110,0.96951220,0.42775032,6,0.80673717
463,463,111001111,0.97012195,0.41340607,7,0.78878135
464,464,111010000,0.95228658,0.33726910,4,0.83855967
465,465,111010001,0.95655487,0.81332304,5,0.77522257
466,466,111010010,0.95015243,0.38082297,5,0.81207014
467,467,111010011,0.95396340,0.44065177,6,0.78989823
468,468,111010100,0.96204268,0.35164691,5,0.82687799
469,469,111010101,0.95838414,0.39563075,6,0.79882106
470,470,111010110,0.95868901,0.37940046,6,0.80074896
471,471,111010111,0.96189024,0.47296678,7,0.77459356
472,472,111011000,0.96387195,0.46838911,5,0.81703304
473,473,111011001,0.96021341,0.42352755,6,0.79786066
474,474,111011010,0.96875001,0.48947016,6,0.79980299
475,475,111011011,0.96417683,0.46261504,7,0.77791532
476,476,111011100,0.96722561,0.45735438,6,0.80149017
477,477,111011101,0.96631098,0.47239421,7,0.77907155
478,478,111011110,0.96783536,0.53518783,7,0.77431658
479,479,111011111,0.96539634,0.59823653,8,0.74557269
480,480,111100000,0.95228658,0.24452305,4,0.84783427
481,481,111100001,0.94908536,0.28021038,5,0.82106432
482,482,111100010,0.95914633,0.21359348,5,0.83778699
483,483,111100011,0.95746951,0.28213912,6,0.80925560
484,484,111100100,0.96051828,0.30533323,5,0.82998496
485,485,111100101,0.95731707,0.30565725,6,0.80675134
486,486,111100110,0.96295731,0.33124150,6,0.80983316
487,487,111100111,0.96234755,0.37432223,7,0.78491533
488,488,111101000,0.96646341,0.25685828,5,0.84077759
489,489,111101001,0.96463414,0.33144125,6,0.81149002
490,490,111101010,0.96570121,0.29540931,6,0.81616028
491,491,111101011,0.96219512,0.32270724,7,0.78992440
492,492,111101100,0.96814025,0.32742290,6,0.81539796
493,493,111101101,0.96402439,0.70084633,7,0.75393975
494,494,111101110,0.96326219,0.47716821,7,0.77554537
495,495,111101111,0.96585366,0.42419411,8,0.76343425
